compound_id,public_id,name
589,FDB000589,Dolichin B
590,FDB000590,Dolichin A
591,FDB000591,Eupatilin
592,FDB000592,Isodillapiole
595,FDB000595,Isoeugenitin
600,FDB000600,Isolimocitrol
601,FDB000601,Isomangiferin
602,FDB000602,Isoorientin 2''-glucoside
603,FDB000603,Isorhamnetin 3-dirhamnoside
604,FDB000604,Isorhamnetin
605,FDB000605,Isorhamnetin 3-galactoside
606,FDB000606,Isorhamnetin 7-glucoside
607,FDB000607,Isorhamnetin 3-sophoroside 7-glucoside
608,FDB000608,Isorhamnetin 7-rhamnoside
609,FDB000609,Isorhamnetin 3-rutinoside
610,FDB000610,Isosakuranetin
611,FDB000611,Isosakuranetin 7-glucoside
612,FDB000612,Didymin
613,FDB000613,Isotheaflavin
614,FDB000614,Isovitexin
615,FDB000615,Isovitexin 2''-glucoside
620,FDB000620,Farnesiferol A
623,FDB000623,Isoferreirin
624,FDB000624,Fisetin
626,FDB000626,Formononetin 7-(6''-malonylglucoside)
628,FDB000628,Trigoforin
633,FDB000633,Kaempferol
634,FDB000634,Kaempferol 3-glucuronide
635,FDB000635,Kaempferol 7-rhamnofuranoside
636,FDB000636,Kaempferol 3-arabinoside
638,FDB000638,Cannithrene 2
642,FDB000642,Mulberrin
645,FDB000645,Garcinone B
646,FDB000646,Garcinone C
652,FDB000652,Limocitrin
653,FDB000653,Limocitrin 3-glucoside
655,FDB000655,Liquiritigenin
657,FDB000657,Galangin
658,FDB000658,3-Methylgalangin
661,FDB000661,Raffinose
662,FDB000662,Gallic acid
663,FDB000663,Methyl gallate
666,FDB000666,Sanguiin H6
668,FDB000668,Gemin D
669,FDB000669,6''-O-Acetylgenistin
670,FDB000670,6''-Malonylgenistin
678,FDB000678,(S)-Naringenin
679,FDB000679,Safflor Yellow A
680,FDB000680,Delphinidin 3-[6''-(4'''-p-coumaroylrhamnosyl)glucoside] 5-glucoside
682,FDB000682,Xenognosin A
683,FDB000683,Nobiletin
687,FDB000687,(-)-Ligballinol
689,FDB000689,Eriodictyol 7-glucoside
690,FDB000690,"3'-Hydroxy-4',5,6,7,8-pentamethoxyflavone"
691,FDB000691,Pebrellin
693,FDB000693,Diosmetin 7-rutinoside
694,FDB000694,Eleutheroside B1
696,FDB000696,Isofraxidin
